01,06,11,12,15,25|03
04,13,16,19,20,29|16
03,06,12,19,21,27|11
04,05,13,28,32,33|14
09,17,23,25,28,32|15
01,03,15,27,30,31|02
03,05,13,23,25,32|01
03,04,06,21,24,29|02
08,09,19,22,31,32|01
01,02,09,18,23,32|12
08,10,15,27,29,31|01
06,17,21,25,27,31|01
04,05,09,20,23,32|06
04,06,07,11,23,32|16
06,11,14,20,22,25|08
17,18,19,20,26,33|01
02,09,12,21,30,32|06
05,06,13,19,26,29|13
15,18,23,24,29,31|02
08,09,15,18,19,22|10
01,10,13,17,31,33|11
09,10,17,20,24,31|06
08,11,21,26,27,28|11
03,14,17,18,19,31|05
01,04,05,15,18,27|13
11,14,19,22,24,28|04
01,09,10,15,20,33|07
02,04,16,22,29,32|05
06,16,25,28,29,32|14
02,03,08,13,17,27|01
01,03,13,16,17,28|16
05,09,13,15,29,33|10
11,16,23,25,29,30|11
08,11,14,16,25,30|04
03,08,13,19,23,24|06
05,12,14,25,26,27|13
03,06,11,13,21,25|11
03,12,14,20,29,31|16
03,10,15,17,29,31|03
12,15,17,22,24,31|04
02,08,11,16,21,30|02
12,18,26,29,30,31|12
05,06,15,19,25,27|07
03,06,10,20,23,26|11
02,08,15,21,22,30|05
02,05,06,08,14,29|06
05,07,10,22,24,28|16
08,11,12,15,17,22|16
06,09,13,23,29,30|14
01,04,09,11,18,30|08
01,10,15,18,28,29|12
02,04,24,27,28,33|10
12,21,22,25,26,30|01
02,09,14,18,28,30|09
02,05,10,11,15,24|11
01,03,05,08,22,25|08
01,04,10,12,26,29|05
03,09,13,17,28,32|13
04,10,12,17,26,32|13
04,14,17,24,25,30|01
03,05,13,20,26,28|05
01,14,16,18,28,32|03
09,11,20,26,28,29|10
04,07,09,11,13,16|02
02,16,21,28,29,30|14
02,09,10,11,29,30|10
02,09,10,14,18,25|08
16,18,20,30,31,33|10
06,10,18,21,26,30|09
06,09,21,22,23,26|07
14,16,17,24,25,32|09
01,05,07,09,15,19|02
01,11,21,22,29,31|08
05,11,13,18,23,30|02
04,08,16,20,29,33|16
02,04,28,29,30,31|07
01,09,16,28,32,33|07
12,15,19,24,26,29|04
03,06,13,22,23,27|08
04,12,18,20,28,30|07
01,03,11,16,25,32|04
04,10,15,21,24,29|03
04,05,08,12,15,20|13
06,14,17,20,22,30|10
06,07,13,18,27,32|07
09,13,20,25,28,30|07
04,12,16,26,29,31|12
03,04,15,18,22,30|14
06,08,15,19,21,25|11
03,10,19,20,29,32|11
06,15,20,23,25,29|09
03,04,20,22,27,31|16
01,12,17,18,25,31|06
02,09,14,22,24,28|04
01,02,05,08,21,26|12
03,09,11,14,28,31|16
08,09,10,11,23,29|12
01,06,07,14,20,23|16
01,07,08,25,27,33|05
01,02,16,21,23,30|02
